trade_id,pnl_points
252,7.25
253,-3.25
254,-7.25
255,-3.75
256,-2.25
257,9.5
258,0.25
259,12.75
260,23.75
261,-3.75
262,3.25
263,2.0
264,-3.5
265,27.75
266,-4.25
267,-4.25
268,11.0
269,-0.75
270,-1.25
271,-13.0
272,-22.25
273,-8.5
274,-13.25
275,2.25
276,-9.25
277,6.25
278,6.25
279,-2.0
280,1.5
281,7.75
282,10.25
283,-5.0
284,-1.0
285,27.25
286,-1.5
287,-12.0
288,-3.5
289,-13.0
290,-1.75
291,1.0
292,5.75
293,-3.5
294,9.75
295,3.5
296,5.25
297,-5.5
298,-5.25
299,-6.25
300,9.25
301,-6.5
302,-9.0
303,-1.0
304,-1.25
305,-2.5
306,-8.0
307,4.75
308,2.75
309,-2.0
310,-1.5
311,2.0
312,-1.0
313,1.5
314,4.75
315,-6.0
316,1.0
317,2.5
318,4.5
319,-2.5
320,0.5
321,-2.25
322,0.5
323,-0.25
324,-3.0
325,-13.0
326,-4.0
327,-8.25
328,6.5
329,4.75
330,4.75
331,6.5
332,0.25
333,-8.5
334,-0.25
335,-14.25
336,-1.75
337,-3.0
338,3.0
339,-3.25
340,-4.75
341,-2.0
342,0.25
343,-19.25
344,8.5
345,-0.5
346,13.0
347,-6.0
348,3.25
349,-13.5
350,6.5
351,-7.75
352,7.25
353,1.25
354,-19.5
355,1.75
356,-11.5
357,-6.75
358,-0.25
359,-11.5
360,6.0
361,-0.75
362,8.0
363,-5.25
364,14.25
365,5.5
366,-4.0
367,-15.75
368,-1.25
369,6.25
370,-16.0
371,-1.25
372,1.25
373,1.0
374,9.0
375,4.25
376,-4.25
377,-1.75
378,3.0
379,-7.25
380,-3.5
381,1.75
382,6.25
383,7.75
384,3.5
385,-0.75
386,-15.25
387,-0.5
388,-1.0
389,23.25
390,1.5
391,-7.75
392,-5.75
393,-12.25
394,-4.25
395,-36.25
396,26.0
397,40.0
398,27.0
399,40.0
400,7.0
401,3.0
402,40.0
403,-24.0
404,4.5
405,-25.75
406,-82.0
407,8.0
408,-41.25
409,-21.5
410,40.0
411,-53.0
412,-13.75
413,-26.5
414,-30.25
415,25.25
416,-14.75
417,27.0
418,1.75
419,-10.5
420,19.25
421,7.75
422,20.5
423,-22.25
424,-3.0
425,11.25
426,15.25
427,-14.75
428,-13.5
429,-20.25
430,26.25
431,8.0
432,-6.75
433,-2.75
434,-11.25
435,5.75
436,7.25
437,-1.5
438,17.75
439,21.25
440,-8.25
441,-12.5
442,11.0
443,-8.0
444,-7.25
445,8.0
446,-0.25
447,-18.0
448,-4.75
449,2.0
450,-3.0
451,2.5
452,12.0
453,18.25
454,-15.0
455,1.0
456,11.75
457,22.75
458,4.75
459,-10.0
460,1.0
461,-20.5
462,-1.25
463,-26.5
464,-8.25
465,16.25
466,-6.0
467,23.75
468,-5.5
469,11.5
470,-0.75
471,40.0
472,-12.0
473,19.25
474,-18.25
475,31.5
476,-31.0
477,-26.0
478,-25.25
479,7.75
480,40.0
481,-33.25
482,1.75
483,40.0
484,-22.25
485,-81.5
486,-23.0
487,-14.0
488,-8.5
489,1.0
490,40.0
491,10.75
492,-22.0
493,40.0
494,7.5
495,40.0
496,-25.75
497,-31.5
498,-12.75
499,-20.5
500,2.75
501,-4.5
502,-12.25
503,10.5
504,8.25
505,-2.25
506,-6.75
507,-10.75
508,-5.5
509,26.5
510,-6.0
511,6.5
512,19.0
513,8.5
514,-3.75
515,-17.0
516,-15.0
517,3.0
518,4.25
519,1.0
520,-13.5
521,-7.0
522,-11.25
523,5.25
524,-15.25
525,-8.75
526,6.5
527,6.0
528,-3.75
529,-2.75
530,-5.0
531,-3.75
532,-8.5
533,5.75
534,-37.25
535,-14.25
536,-9.5
537,10.25
538,-3.5
539,-15.25
540,8.0
541,0.5
542,-1.25
543,3.25
544,-7.0
545,3.5
546,1.0
547,-5.25
548,7.0
549,3.75
550,14.75
551,40.0
552,21.0
553,-22.75
554,-18.5
555,7.5
556,39.0
557,5.0
558,-18.25
559,6.0
560,13.0
561,40.0
562,17.75
563,-13.25
564,0.25
565,-22.25
566,40.0
567,-12.75
568,5.75
569,40.0
570,4.0
571,-15.75
572,-2.75
573,3.75
574,-1.0
575,15.25
576,18.75
577,18.75
578,-0.75
579,-11.25
580,6.5
581,9.25
582,-10.0
583,-9.25
584,-13.25
585,-6.5
586,-2.0
587,0.5
588,-1.25
589,-15.75
590,-11.5
591,7.0
592,-0.25
593,2.75
594,15.5
595,11.25
596,8.25
597,-7.0
598,29.25
599,5.0
600,2.5
601,40.0
602,10.25
603,40.0
604,-12.0
605,-59.25
606,40.0
607,40.0
608,-167.0
609,40.0
610,40.0
611,40.0
612,40.0
613,40.0
614,40.0
615,-14.5
616,-24.5
617,17.25
618,-45.75
619,-12.75
620,40.0
621,-29.25
622,22.0
623,-37.25
624,21.75
625,40.0
626,8.25
627,-21.25
628,16.25
629,-6.5
630,-7.5
631,-14.75
632,-17.0
633,6.0
634,5.0
635,40.0
636,40.0
637,-32.0
638,13.75
639,40.0
640,30.0
641,-90.5
642,40.0
643,-9.25
644,40.0
645,21.0
646,40.0
647,40.0
648,-11.0
649,4.5
650,-58.75
651,2.75
652,9.25
653,-83.0
654,40.0
655,19.75
656,40.0
657,40.0
658,19.25
659,-14.0
660,40.0
661,-41.25
662,-32.75
663,-18.5
664,0.75
665,-22.75
666,-11.75
667,14.75
668,40.0
669,40.0
670,-21.0
671,12.0
672,-3.5
673,-24.5
674,40.0
675,-6.5
676,40.0
677,-1.5
678,40.0
679,40.0
680,40.0
681,40.0
682,40.0
683,2.0
684,40.0
685,40.0
686,40.0
687,40.0
688,40.0
689,40.0
690,7.5
691,11.75
692,40.0
693,40.0
694,-48.0
695,-37.0
696,40.0
697,-4.5
698,3.5
699,-33.25
700,22.5
701,-0.25
702,19.75
703,5.0
704,-18.75
705,40.0
706,11.5
707,22.25
708,1.5
709,40.0
710,40.0
711,-48.75
712,-11.25
713,-3.0
714,40.0
715,40.0
716,40.0
717,40.0
718,-14.25
719,-47.25
720,-76.0
721,15.5
722,-23.25
723,-59.75
724,-4.25
725,-15.0
726,-16.25
727,-45.75
728,2.5
729,5.5
730,-12.25
731,-40.5
732,-19.5
733,-43.5
734,-73.75
735,40.0
736,40.0
737,40.0
738,40.0
739,40.0
740,40.0
741,40.0
742,1.75
743,40.0
744,40.0
745,40.0
746,40.0
747,40.0
748,40.0
749,40.0
750,40.0
751,40.0
752,40.0
753,40.0
754,-38.75
755,40.0
756,-24.5
757,40.0
758,40.0
759,40.0
760,40.0
761,40.0
762,-73.5
763,-4.0
764,40.0
765,-21.5
766,40.0
767,-84.75
768,40.0
769,40.0
770,-114.25
771,40.0
772,40.0
773,40.0
774,40.0
775,-71.5
776,40.0
777,-56.75
778,40.0
779,40.0
780,-8.75
781,-22.25
782,40.0
783,40.0
784,40.0
785,-119.0
786,40.0
787,-21.0
788,-11.0
789,40.0
790,40.0
791,40.0
792,-89.25
793,40.0
794,40.0
795,40.0
796,8.25
797,-45.0
798,40.0
799,40.0
800,-78.0
801,-11.75
802,-8.25
803,-38.5
804,-39.5
805,6.0
806,40.0
807,18.5
808,40.0
809,1.0
810,40.0
811,40.0
812,40.0
813,9.0
814,-37.25
815,40.0
816,40.0
817,40.0
818,40.0
819,-3.0
820,40.0
821,-16.0
822,40.0
823,-15.0
824,40.0
825,-9.5
826,-102.25
827,-22.0
828,40.0
829,40.0
830,40.0
831,-60.25
832,40.0
833,15.75
834,-39.75
835,-30.0
836,40.0
837,-23.0
838,40.0
839,31.5
840,-6.5
841,40.0
842,18.25
843,-43.0
844,-9.0
845,22.25
846,40.0
847,25.0
848,-3.75
849,-23.25
850,40.0
851,40.0
852,40.0
853,40.0
854,40.0
855,-5.5
856,-22.0
857,40.0
858,-59.75
859,-82.75
860,40.0
861,40.0
862,3.0
863,5.75
864,-5.0
865,-40.0
866,4.5
867,40.0
868,-30.5
869,40.0
870,-45.5
871,-12.5
872,27.25
873,-0.25
874,-2.75
875,-10.75
876,3.25
877,-12.5
878,-9.75
879,40.0
880,-33.75
881,40.0
882,-32.0
883,40.0
884,-61.25
885,-6.25
886,-9.25
887,-8.25
888,-22.0
889,25.5
890,-11.75
891,40.0
892,40.0
893,40.0
894,26.0
895,-24.75
896,40.0
897,-20.75
898,40.0
899,29.25
900,40.0
901,1.75
902,-18.5
903,-1.25
904,-46.25
905,-1.25
906,2.75
907,-27.5
908,40.0
909,40.0
910,40.0
911,-2.75
912,40.0
913,-80.5
914,4.0
915,20.75
916,-21.0
917,40.0
918,-56.5
919,-7.0
920,40.0
921,-61.5
922,13.5
923,28.25
924,40.0
925,40.0
926,40.0
927,-23.75
928,18.75
929,-10.0
930,13.75
931,-36.5
932,-13.75
933,-43.0
934,-23.25
935,-24.25
936,10.0
937,-3.75
938,-57.0
939,40.0
940,-6.0
941,40.0
942,-37.25
943,-8.0
944,-37.75
945,30.0
946,-53.75
947,40.0
948,40.0
949,-57.0
950,40.0
951,40.0
952,14.25
953,40.0
954,-22.5
955,5.25
956,-82.25
957,-20.75
958,40.0
959,-15.25
960,-94.0
961,-9.5
962,-9.25
963,40.0
964,14.5
965,40.0
966,-40.5
967,-16.25
968,40.0
969,-60.0
970,15.5
971,-45.5
972,40.0
973,-27.0
974,9.5
975,-22.5
976,40.0
977,-27.25
978,-1.5
979,-21.0
980,40.0
981,16.75
982,-52.75
983,-49.25
984,-19.0
985,27.5
986,40.0
987,-64.5
988,40.0
989,40.0
990,40.0
991,40.0
992,-58.0
993,-65.75
994,-11.5
995,-29.75
996,40.0
997,40.0
998,-92.75
999,40.0
1000,8.0
1001,40.0
1002,17.75
1003,-9.5
1004,-8.75
1005,40.0
1006,40.0
1007,-59.75
1008,6.5
1009,-15.75
1010,22.5
1011,-14.25
1012,3.0
1013,-120.25
1014,40.0
1015,40.0
1016,-10.5
1017,-57.75
1018,40.0
1019,24.5
1020,-39.5
1021,-38.5
1022,40.0
1023,-5.5
1024,40.0
1025,40.0
1026,2.0
1027,40.0
1028,40.0
1029,40.0
1030,40.0
1031,-38.0
1032,40.0
1033,-35.75
1034,40.0
1035,0.0
1036,40.0
1037,-9.25
1038,-93.25
1039,0.5
1040,40.0
1041,26.25
1042,-3.0
1043,-33.75
1044,40.0
1045,40.0
1046,-1.75
1047,-34.75
1048,40.0
1049,-35.5
1050,40.0
1051,-17.75
1052,-43.0
1053,40.0
1054,9.5
1055,40.0
1056,40.0
1057,-7.25
1058,-35.75
1059,11.5
1060,40.0
1061,3.25
1062,-32.5
1063,-9.5
1064,-35.75
1065,40.0
1066,10.0
1067,-29.75
1068,-10.0
1069,40.0
1070,-56.75
1071,-176.0
1072,-73.0
1073,6.25
1074,40.0
1075,40.0
1076,40.0
1077,40.0
1078,-0.5
1079,40.0
1080,40.0
1081,40.0
1082,40.0
1083,40.0
1084,-65.75
1085,40.0
1086,-37.75
1087,40.0
1088,-25.5
1089,-7.75
1090,40.0
1091,2.25
1092,40.0
1093,40.0
1094,40.0
1095,-61.5
1096,40.0
1097,-60.0
1098,40.0
1099,-76.0
1100,-2.25
1101,40.0
1102,-7.5
1103,-120.75
1104,40.0
1105,40.0
1106,40.0
1107,40.0
1108,40.0
1109,40.0
1110,40.0
1111,40.0
1112,-7.0
1113,40.0
1114,40.0
1115,-152.75
1116,40.0
1117,40.0
1118,40.0
1119,40.0
1120,40.0
1121,-121.25
1122,-101.75
